Arxiv ID, Title, Authors, Type 
1605.07626, "Suppressing star formation in quiescent galaxies with supermassive black hole winds", Cheung et al., RES
1605.09384, "Wide binaries in ultra-faint galaxies: a window onto dark matter on the smallest scales", Penarrubia et al., NEW
1605.09388, "Lyα emission line reconstruction for high-z QSOs", Greig et al., RES
1512.05366, "The extended halo of Centaurus A: uncovering satellites, streams, and substructures", Crnojevi et al., RES
1605.06507, "Revisiting the LyC Escape Fraction Crisis: Predictions for z>6 from Locals", Faist, RES
1605.08782, "The production and escape of Lyman-Continuum radiation from star-forming galaxies at z~2 and their redshift evolution", Matthee et al, RES
1606.02242, "The Importance of Computation in Astronomy Education", Zingale et al., EDU
1606.02694, "Estimating the Mass of the Local Group using Machine Learning Applied to Numerical Simulations", McLeod et al., RES
1606.01516, "The lopsided distribution of satellite galaxies", Libeskind et al., RES
1606.02351, "The Role of Non-ionizing Radiation Pressure in Star Formation: The Stability of Cores and Filaments", Seo & Youdin, RES
1606.02304, "Cold, clumpy accretion onto an active supermassive black hole", Tremblay et al., RES
1606.03757, "DNest4: Diffusive Nested Sampling in C++ and Python", Brewer & Foreman-Mackey, RES
1606.04226, "Black-hole kicks as new gravitational-wave observables", Gerosa & Moore, NEW
1606.04106, "High-Precision Forward Modeling of Large-Scale Structure: An open-source approach with Halotools", Hearin et al., RES
nature18272, "Mean first-passage times of non-Markovian random walkers in confinement", Guerin et al., RES
