Arxiv ID, Title, Authors, Type 
1601.00093, "Inference and classifications of the Lagrangian dark matter sheet in the SDSS", Leclercq et al., RES
1601.00033 , "Randomized Aperture Imaging", Peng et al., INST NEW
1601.00208, "Characterizing Dust Attenuation in Local Star Forming Galaxies: UV and Optical Reddening", Battisti et al., REF
1601.01117, "Friends-of-friends galaxy group finder with membership refinement. Application to the local Universe", Tempel et al., RES
1601.00967, "NIHAO VII: Predictions for the galactic baryon budget in dwarf to Milky Way mass haloes", Wang et al., RES
1601.01026, "Missing dark matter in dwarf galaxies?", Oman et al., RES
