Arxiv ID, Title, Authors, Type
1403.0055, "A physical model for the evolving UV luminosity function of high redshift galaxies and their contribution to the cosmic reionization", Cai et al., RES
1403.0007, "Cosmic Star Formation History", Madau and Dickinson, REF
1403.0254, "Chaotic enhancement of dark matter density in binary systems and galaxies", Rollin et al., RES
1403.0247, "Imaging the environment of a z = 6.3 submillimeter galaxy with SCUBA-2", Robson et al., RES
1403.0732, "Diffuse Lyα Halos around Galaxies at z=2.2−6.6: Implications for Galaxy Formation and Cosmic Reionization", Momose et al., RES
1403.1041, "RingFinder: automated detection of galaxy-scale gravitational lenses in ground-based multi-filter imaging data", Gavazzi et al., NEW
1403.1063, "A PCA-based automated finder for galaxy-scale strong lenses", Joseph et al., NEW
1403.1271, "SCoPE: An efficient method of Cosmological Parameter Estimation", Das and Sourdadeep, NEW
1403.1259, "Measuring the growth of matter fluctuations with third-order galaxy correlations", Hoffmann et al, NEW
1403.1537, "Ya. B. Zeldovich (1914-1987): Chemist, Nuclear Physicist, Cosmologist", Sahni, REF
1403.1260, "Cosmology: from theory to data, from data to theory", Leclercq et al, NEW
1403.2185, "Constraining Warm Dark Matter with high-z supernova lensing", Pandolfi et al., NEW
1403.2389, "A thousand shadows of Andromeda: rotating planes of satellites in the Millennium-II cosmological simulation", Ibata et al., RES
1403.2475, "Star forming filaments in warm dark models", Gao et al, NEW
1403.2783, "The Evolution of Galaxy Structure over Cosmic Time", Conselice, REF
1403.2720, "Measuring the power spectrum of dark matter substructure using strong gravitational lensing", Hezaveh et al, NEW
1403.2728, "Mergers drive spin swings along the cosmic web", Welker et al., RES
1403.3667, "A Council of Giants", McCall, RES
1403.3693, "The VIMOS Ultra-Deep Survey (VUDS): fast increase of the fraction of strong Lyman alpha emitters from z=2 to z=6", Cassata et al, RES
1403.4295, "UV Luminosity Functions at redshifts z~4 to z~10: 11000 Galaxies from HST Legacy Fields", Bouwens et al., RES
1403.4620, "The Co-Evolution of Galaxies and Supermassive Black Holes: Insights from Surveys of the Contemporary Universe", Heckman and Best, REF
1403.4945, "The PAndAS Field of Streams: stellar structures in the Milky Way halo toward Andromeda and Triangulum", Martin et al, RES
1403.4935, "Spectral Energy Distribution Fitting of HETDEX Pilot Survey Lyman-alpha Emitters in COSMOS and GOODS-N", Hagen et al., RES
1403.5466, "New observations of z~7 galaxies: evidence for a patchy reionization", Pentericci et al., RES
1403.5270, "The Theoretical Astrophysical Observatory: Cloud-Based Mock Galaxy Catalogues", Bernyk et al., RES
1403.6198, "Steadily Increasing Star Formation Rates in Galaxies Observed at 3 <~ z <~ 5 in the CANDELS/GOODS-S Field", Lee et al., RES
1403.6146, "On the relation between sSFR and metallicity",  Pipino et al., RES
1403.6720, "Improving Dark Matter Axion Searches with Active Resonators", Ryba, NEW
1403.6492, "A Fast Route to Non-Linear Clustering Statistics in Modified Gravity Theories", Winther and Ferreira, NEW
1403.6768, "Can primordial magnetic fields be the origin of the BICEP2 data?", Bonvin et al., NEW
1403.6681, "Quantum telescopes", Kellerer, FUN
1403.6469, "M31 Satellite Masses Compared to LCDM Subhaloes", Tollerud et al, RES 
1403.6828, "The Effects of Varying Cosmological Parameters on Halo Substructure", Dooley et al., RES
1403.0055, "A physical model for the evolving UV luminosity function of high redshift galaxies and their contribution to the cosmic reionization", Cai et al., RES
1403.5265, "Temporal Self-Organization in Galaxy Formation", Cen, RES
