Arxiv ID, Title, Authors, Type
1402.1165, "Dancing in the dark: galactic properties trace spin swings along the cosmic web", Dubois et al., RES
1402.1456, "Dusty Star-Forming Galaxies at High Redshift", Casey et al., RES
1402.1168, "What is the physical origin of strong Lya emission? II. Gas Kinematics and Distribution of Lya Emitters", Shibuya et al, RES
1402.2280, "Galaxy luminosity function and Tully-Fisher relation: reconciled through rotation-curve studies", Cattaneo et al, RES
1402.4816, "IGM Emission Observations with the Cosmic Web Imager: I. The Circum-QSO Medium of QSO 1549+19, and Evidence for a Filamentary Gas Inflow", Martin et al., RES
1402.5227, "Galactic winds and stellar populations in Lyman α emitting galaxies at z ~ 3.1", McLinden et al., RES
1402.5142, "The remnant of a merger between two dwarf galaxies in Andromeda II", Amorisco et al., RES
1402.5429, "Evidence for a Lower Value for H0 from Cosmic Chronometers Data?", Busti et al., NEW
1402.6335, "A submillimeter galaxy illuminating its circumgalactic medium: Ly-alpha scattering in a cold, clumpy outflow", Geach et al, RES
1402.6566, "On the recovery of Local Group motion from galaxy redshift surveys", Nusser et al, NEW
1402.6614, "Giving Cosmic Redshift Drift a Whirl", Kim et al., NEW
1402.6697, "A 10 deg2 Lyman-α survey at z=8.8 with spectroscopic follow-up: strong constraints on the LF and implications for other surveys", Matthee et al, RES
1402.6980, "Inflationary schism after Planck2013", Ijjas et al, NEW
1402.6983, "Estimating Cosmological Parameter Covariance", Taylor and Joachimi, RES
1402.6706, "Airships: A New Horizon for Science", Miller et al., NEW
1402.6703, "The Characterization of the Gamma-Ray Signal from the Central Milky Way: A Compelling Case for Annihilating Dark Matter", Daylan et al, RES
1402.6995, "Super-Critical Growth of Massive Black Holes from Stellar-Mass Seeds", Madau et al, RES
1402.2976, "On the universality of void density profiles", Ricciardelli et al., RES
